实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2018-04-24,20171231,983,合并报表,1569105683.37
2018-04-20,20171231,985,合并报表,48155136.2
2018-03-15,20171231,987,合并报表,633318753.68
2018-04-18,20171231,988,合并报表,324161947.26
2018-04-20,20171231,989,合并报表,721419791.76
2018-03-16,20171231,990,合并报表,808508556.72
2018-03-31,20171231,993,合并报表,22588936.08
2018-04-28,20171231,995,合并报表,-187630340.29
2018-04-28,20171231,996,合并报表,30292093.32
2018-04-21,20171231,997,合并报表,654083057.52
2018-04-28,20171231,998,合并报表,771772045.37
2018-03-15,20171231,999,合并报表,1301687249.72
2018-03-15,20171231,1696,合并报表,272408148.59
2018-03-07,20171231,1872,合并报表,504495064.39
2018-04-20,20171231,1896,合并报表,53533508.11
2018-04-10,20171231,1965,合并报表,3368195002.99
2018-03-27,20171231,1979,合并报表,12220308172.65
2018-04-25,20171231,2001,合并报表,1704413449.19
2018-03-31,20171231,2002,合并报表,1004882891.14
2018-04-14,20171231,2003,合并报表,364559003.88
2018-04-28,20171231,2004,合并报表,507905574.27
2018-04-27,20171231,2005,合并报表,-971397304.67
2018-04-20,20171231,2006,合并报表,99144789.42
2018-03-27,20171231,2007,合并报表,820823471.07
2018-04-17,20171231,2008,合并报表,1665043916.82
2018-04-03,20171231,2009,合并报表,84766398.19
2018-04-17,20171231,2010,合并报表,469408053.26
2018-03-23,20171231,2011,合并报表,92287251.57
2018-03-07,20171231,2012,合并报表,30614646.48
2018-03-06,20171231,2013,合并报表,579008362.17
2018-03-08,20171231,2014,合并报表,205483203.04
2018-04-20,20171231,2015,合并报表,7479686.76
2018-03-31,20171231,2016,合并报表,912981608.71
2018-03-30,20171231,2017,合并报表,37728153.35
2018-04-27,20171231,2018,合并报表,447452809.82
2018-03-31,20171231,2019,合并报表,1305103508.11
2018-04-24,20171231,2020,合并报表,264376949.76
2018-04-26,20171231,2021,合并报表,-93208019.8
2018-04-19,20171231,2022,合并报表,217759949.26
2018-03-27,20171231,2023,合并报表,34368947.93
2018-03-31,20171231,2024,合并报表,4212516000.0
2018-04-10,20171231,2025,合并报表,311392158.87
2018-04-24,20171231,2026,合并报表,125548154.6
2018-04-25,20171231,2027,合并报表,6004706786.08
2018-03-24,20171231,2028,合并报表,249191172.36
2018-04-04,20171231,2029,合并报表,316579206.29
2018-03-31,20171231,2030,合并报表,86447799.33
2018-04-10,20171231,2031,合并报表,63701818.14
2018-03-31,20171231,2032,合并报表,1307606602.94
2018-04-24,20171231,2033,合并报表,204212170.89
2018-04-27,20171231,2034,合并报表,234816575.79
2018-04-27,20171231,2035,合并报表,509628382.47
2018-04-24,20171231,2036,合并报表,283698019.58
2018-03-30,20171231,2037,合并报表,76773998.25
2018-03-20,20171231,2038,合并报表,533575372.02
2018-03-29,20171231,2039,合并报表,320349916.9
2018-04-25,20171231,2040,合并报表,106329500.0
2018-04-20,20171231,2041,合并报表,166703137.36
2018-04-26,20171231,2042,合并报表,677376240.73
2018-04-10,20171231,2043,合并报表,364882439.66
2018-04-18,20171231,2044,合并报表,613800128.7
2018-04-12,20171231,2045,合并报表,130778981.0
2018-04-28,20171231,2046,合并报表,16374041.29
2018-04-21,20171231,2047,合并报表,366767683.49
2018-04-26,20171231,2048,合并报表,798254632.58
2018-03-30,20171231,2049,合并报表,279887242.88
2018-04-16,20171231,2050,合并报表,1235952056.18
2018-04-04,20171231,2051,合并报表,1484070384.0
2018-04-27,20171231,2052,合并报表,8939085.87
2018-03-30,20171231,2053,合并报表,162128045.38
2018-04-27,20171231,2054,合并报表,29961009.31
2018-04-21,20171231,2055,合并报表,174755807.96
2018-03-10,20171231,2056,合并报表,578042928.12
2018-04-24,20171231,2057,合并报表,135716771.17
2018-04-03,20171231,2058,合并报表,2816432.91
2018-04-02,20171231,2059,合并报表,71545227.11
2018-03-28,20171231,2060,合并报表,158102642.43
2018-03-31,20171231,2061,合并报表,1107514185.51
2018-04-04,20171231,2062,合并报表,271952321.59
2018-04-27,20171231,2063,合并报表,172272603.75
2018-04-24,20171231,2064,合并报表,385495562.21
2018-04-21,20171231,2065,合并报表,663799645.53
2018-04-25,20171231,2066,合并报表,15174604.98
2018-04-26,20171231,2067,合并报表,638089976.25
2018-04-24,20171231,2068,合并报表,480778460.78
2018-04-28,20171231,2069,合并报表,-722857525.6
2018-04-28,20171231,2070,合并报表,-1040056678.97
2018-04-27,20171231,2071,合并报表,169752222.28
2018-04-28,20171231,2072,合并报表,-35109559.32
2018-04-23,20171231,2073,合并报表,92052238.5
2018-04-26,20171231,2074,合并报表,838007109.71
2018-03-20,20171231,2075,合并报表,704801609.22
2018-03-30,20171231,2076,合并报表,55870244.79
2018-03-28,20171231,2077,合并报表,33631028.48
